Jan ,Feb ,Mar ,Apr ,May ,June ,July ,Aug ,Sep ,Oct ,Nov ,Dec ,Year
12.0,20.0,14.0,102.0,273.0,173.0,95.0,121.0,282.0,297.0,0.0,4.0,116.08
16.0,42.0,0.0,101.0,313.0,235.0,105.0,208.0,309.0,306.0,0.0,9.0,137
7.0,37.0,0.0,38.0,274.0,208.0,116.0,209.0,181.0,296.0,0.0,0.0,113.83
18.0,58.0,0.0,30.0,338.0,302.0,87.0,204.0,380.0,435.0,0.0,0.0,154.33
11.0,72.0,0.0,44.0,210.0,221.0,137.0,172.0,208.0,285.0,0.0,5.0,113.75
18.0,15.0,1.0,126.0,275.0,338.0,334.0,274.0,254.0,253.0,0.0,5.0,157.75
9.0,15.0,0.0,70.0,308.0,472.0,116.0,220.0,351.0,241.0,0.0,25.3,163.82
10.0,17.0,16.0,145.0,355.0,883.0,291.0,330.0,356.0,209.0,0.0,5.0,218.08
1.0,11.0,0.0,45.0,358.0,570.0,274.0,126.0,379.0,148.0,0.0,20.0,161
6.0,18.0,0.0,76.0,328.0,709.0,272.0,114.0,628.0,86.0,0.0,11.0,187.33
6.0,24.0,6.0,79.0,439.0,743.0,197.0,123.0,535.0,147.0,0.0,50.0,195.75
11.0,8.0,0.0,60.0,333.0,566.0,377.0,345.0,233.0,157.0,4.0,4.0,174.83
6.0,23.0,10.0,60.0,270.0,343.0,143.0,99.0,273.0,196.0,0.0,2.0,118.75
6.0,46.0,0.0,78.0,317.0,322.0,111.0,153.0,194.0,419.0,0.0,0.0,137.17
20.0,10.0,0.0,99.0,373.0,302.0,201.0,315.0,306.0,310.0,0.0,0.0,161.33
8.0,13.0,3.0,38.0,385.0,505.0,265.0,382.0,696.0,147.0,0.0,0.0,203.5
3.0,13.0,0.0,69.0,292.0,590.0,296.0,431.0,446.0,335.0,0.0,0.0,206.25
8.0,30.0,3.0,52.0,265.0,701.0,167.0,322.0,413.0,83.0,0.0,15.0,171.58
7.0,15.0,0.0,39.0,290.0,522.0,208.0,96.0,404.0,169.0,0.0,0.0,145.83
7.0,6.0,88.0,10.0,264.0,894.0,270.0,529.0,272.0,171.0,27.0,0.0,211.5
17.0,24.0,30.0,281.0,837.0,1461.0,758.0,442.0,716.0,334.0,0.0,8.0,409
20.0,27.0,0.0,116.0,625.0,591.0,304.0,378.0,307.0,443.0,0.0,1.0,234.33
3.0,39.0,0.0,20.0,176.0,70.0,85.0,308.0,259.0,56.0,0.0,1.0,84.75
23.0,46.0,0.0,28.0,204.0,85.0,75.0,208.0,273.0,144.0,0.0,0.0,90.5
17.0,40.0,0.0,57.0,271.0,331.0,235.0,108.0,398.0,103.0,0.0,3.0,130.25
5.0,44.0,0.0,132.0,250.0,189.0,165.0,140.0,289.0,72.0,0.0,25.3,116.91
4.0,43.0,9.0,67.0,333.0,115.0,130.0,199.0,446.0,106.0,0.0,1.0,121.08
8.0,82.0,0.0,179.0,267.0,585.0,328.0,242.0,148.0,69.0,21.8,0.0,173.45
18.0,61.0,3.0,77.0,392.0,421.0,196.0,228.0,220.0,97.0,0.0,0.0,142.75
12.0,70.0,24.0,198.0,285.0,402.0,228.0,178.0,245.0,70.0,0.0,0.0,142.67
1.0,41.0,49.0,90.0,309.0,1063.0,597.0,444.0,548.0,379.0,0.0,0.0,293.42
2.0,73.0,38.0,250.0,317.0,717.0,274.0,214.0,299.0,176.0,0.0,0.0,196.67
8.0,78.0,0.0,472.0,530.0,739.0,170.0,453.0,129.0,127.0,0.0,0.0,225.5
8.0,75.0,0.0,13.0,185.0,110.0,82.0,184.0,344.0,293.0,0.0,0.0,107.83
7.0,29.0,0.0,2.0,111.0,224.0,143.0,292.0,284.0,434.0,0.0,0.0,127.17
11.0,67.0,0.0,5.0,180.0,88.0,194.0,195.0,301.0,123.0,0.0,25.3,105.82
7.0,38.0,0.0,26.0,211.0,64.0,77.0,213.0,163.0,110.0,0.0,0.0,75.75
17.0,76.0,0.0,15.0,183.0,132.0,134.0,178.0,420.0,65.0,0.0,0.0,101.67
17.0,38.0,0.0,29.0,241.0,166.0,90.0,169.0,235.0,128.0,0.0,1.0,92.83
4.0,37.0,0.0,12.0,203.0,317.0,168.0,331.0,276.0,474.0,0.0,1.0,151.92
6.0,19.0,0.0,14.0,211.0,241.0,274.0,326.0,297.0,380.0,0.0,0.0,147.33
4.0,36.0,0.0,5.0,363.0,195.0,169.0,502.0,522.0,496.0,0.0,0.0,191
7.0,23.0,0.0,45.0,206.0,321.0,121.0,289.0,251.0,414.0,0.0,3.0,140
0.0,0.0,3.0,39.0,244.0,543.0,318.0,247.0,140.0,166.0,27.0,153.0,156.67
0.0,0.0,8.0,61.0,218.0,536.0,168.0,455.0,115.0,221.0,11.0,38.0,152.58
0.0,0.0,0.0,18.0,186.0,321.0,456.0,354.0,122.0,71.0,29.0,175.0,144.33
0.0,0.0,0.0,15.0,180.0,427.0,282.0,185.0,141.0,80.0,27.0,113.0,120.83
0.0,0.0,0.0,3.0,118.0,485.0,271.0,233.0,316.0,168.0,12.0,74.0,140
0.0,0.0,14.0,60.0,308.0,386.0,284.0,516.0,246.0,163.0,2.0,31.0,167.5
0.0,0.0,2.0,45.0,376.0,429.0,230.0,435.0,66.0,188.0,0.0,9.0,148.33
0.0,0.0,71.0,46.0,424.0,729.0,456.0,658.0,182.0,177.0,0.0,11.0,229.5
0.0,0.0,0.0,25.0,210.0,905.0,865.0,753.0,314.0,234.0,0.0,95.0,283.42
0.0,0.0,0.0,0.0,162.0,790.0,798.0,713.0,357.0,126.0,0.0,62.0,250.67
0.0,0.0,0.0,0.0,94.0,1051.0,587.0,656.0,211.0,129.0,0.0,66.0,232.83
0.0,0.0,0.0,34.0,113.0,438.0,407.0,576.0,218.0,146.0,0.0,74.0,167.17
0.0,0.0,0.0,4.0,150.0,439.0,365.0,269.0,544.0,118.0,20.0,164.0,172.75
2.0,0.0,2.0,3.0,164.0,469.0,357.0,398.0,235.0,198.0,34.0,126.0,165.67
0.0,0.0,0.0,6.0,181.0,717.0,468.0,436.0,233.0,212.0,0.0,92.0,195.42
0.0,0.0,1.0,16.0,104.0,618.0,721.0,382.0,296.0,192.0,19.0,89.0,203.17
0.0,0.0,0.0,2.0,151.0,1174.0,725.0,749.0,321.0,104.0,0.0,67.0,274.42
0.0,0.0,0.0,46.0,167.0,808.0,1095.0,936.0,185.0,207.0,0.0,39.0,290.25
0.0,0.0,0.0,19.0,94.0,902.0,1084.0,973.0,133.0,252.0,0.0,84.0,295.08
0.0,0.0,0.0,9.0,29.0,927.0,1003.0,641.0,159.0,171.0,0.0,21.0,246.67
0.0,0.0,128.0,133.0,338.0,669.0,651.0,915.0,207.0,240.0,0.0,14.0,274.58
3.0,0.0,109.0,39.0,244.0,228.0,233.0,436.0,170.0,165.0,2.0,66.0,141.25
0.0,0.0,0.0,18.0,193.0,233.0,336.0,540.0,148.0,116.0,1.0,1.0,132.17
0.0,0.0,1.0,41.0,175.0,430.0,285.0,337.0,170.0,117.0,18.0,16.0,132.5
0.0,0.0,6.0,24.0,296.0,404.0,289.0,408.0,115.0,90.0,0.0,1.0,136.08
0.0,0.0,0.0,11.0,310.0,541.0,191.0,370.0,97.0,109.0,0.0,0.0,135.75
0.0,0.0,0.0,137.0,211.0,289.0,231.0,447.0,147.0,123.0,0.0,4.0,132.42
0.0,0.0,9.0,54.0,312.0,241.0,170.0,448.0,193.0,386.0,0.0,5.0,151.5
0.0,0.0,0.0,22.0,277.0,289.0,185.0,412.0,121.0,442.0,0.0,5.0,146.08
0.0,0.0,0.0,52.0,291.0,245.0,306.0,548.0,233.0,350.0,0.0,4.0,169.08
0.0,0.0,17.0,26.0,218.0,452.0,747.0,819.0,286.0,416.0,0.0,4.0,248.75
0.0,0.0,27.0,41.0,270.0,348.0,420.0,568.0,213.0,339.0,0.0,1.0,185.58
0.0,0.0,20.0,73.0,381.0,296.0,149.0,459.0,324.0,382.0,0.0,2.0,173.83
0.0,3.0,0.0,2.0,136.0,458.0,524.0,202.0,340.0,234.0,3.0,69.0,164.25
0.0,0.0,0.0,0.0,206.0,431.0,961.0,332.0,373.0,248.0,2.0,60.0,217.75
0.0,3.0,0.0,1.0,173.0,402.0,511.0,235.0,347.0,217.0,3.0,87.0,164.92
0.0,1.0,0.0,4.0,170.0,368.0,294.0,210.0,332.0,167.0,41.0,193.0,148.33
0.0,0.0,13.0,6.0,233.0,296.0,298.0,521.0,147.0,77.0,37.0,75.0,141.92
0.0,0.0,0.0,9.0,115.0,399.0,220.0,365.0,181.0,80.0,36.0,60.0,122.08
0.0,1.0,1.0,0.0,126.0,340.0,399.0,259.0,244.0,277.0,0.0,67.0,142.83
0.0,0.0,0.0,1.0,88.0,619.0,832.0,367.0,363.0,248.0,2.0,58.0,214.83
4.0,0.0,0.0,0.0,122.0,561.0,838.0,436.0,385.0,268.0,0.0,50.0,222
0.0,1.0,0.0,1.0,173.0,638.0,392.0,329.0,196.0,228.0,2.0,68.0,169
0.0,120.0,72.0,173.0,195.0,260.0,368.0,216.0,162.0,188.0,37.0,5.0,149.67
0.0,52.0,54.0,157.0,322.0,316.0,487.0,158.0,172.0,136.0,17.0,6.0,156.42
0.0,99.0,11.0,66.0,164.0,105.0,313.0,194.0,123.0,112.0,39.0,9.0,102.92
0.0,144.0,95.0,56.0,143.0,223.0,325.0,345.0,226.0,177.0,109.0,4.0,153.92
0.0,105.0,41.0,126.0,130.0,123.0,310.0,228.0,187.0,271.0,177.0,10.0,142.33
0.0,101.0,85.0,160.0,312.0,608.0,516.0,306.0,329.0,90.0,19.0,9.0,211.25
2.9,33.0,58.0,68.0,403.0,318.0,585.0,117.0,204.0,201.0,14.0,2.0,182.09
0.0,23.0,49.0,90.0,472.0,371.0,700.0,274.0,390.0,216.0,8.0,6.0,216.58
2.9,40.0,12.0,69.0,206.0,161.0,1105.0,489.0,345.0,117.0,83.0,10.0,239.73
1.0,34.0,19.0,63.0,168.0,272.0,1191.0,324.0,476.0,90.0,78.0,5.0,226.75
18.0,37.0,40.0,199.0,274.0,226.0,1589.0,420.0,337.0,151.0,117.0,14.0,285.17
0.0,36.0,22.0,95.0,215.0,309.0,1104.0,341.0,267.0,170.0,132.0,5.0,224.67
0.0,87.0,68.0,196.0,269.0,202.0,477.0,283.0,210.0,76.0,62.0,8.0,161.5
0.0,116.0,76.0,71.0,215.0,199.0,402.0,280.0,164.0,128.0,91.0,4.0,145.5
0.0,72.0,71.0,104.0,281.0,273.0,734.0,477.0,464.0,196.0,209.0,4.0,240.42
0.0,80.0,54.0,122.0,208.0,262.0,808.0,547.0,302.0,173.0,93.0,4.0,221.08
0.0,52.0,35.0,28.0,161.0,370.0,1091.0,449.0,288.0,195.0,179.0,8.0,238
0.0,12.0,86.0,16.0,98.0,232.0,966.0,439.0,614.0,249.0,80.0,0.0,232.67
0.0,21.0,48.0,21.0,94.0,141.0,1226.0,300.0,560.0,114.0,63.0,3.0,215.92
2.9,4.0,84.0,3.0,84.0,321.0,1458.0,708.0,935.0,152.0,23.0,0.0,342.91
0.0,45.0,47.0,326.0,650.0,807.0,638.0,407.0,309.0,342.0,9.0,0.0,298.33
0.0,46.0,70.0,92.0,439.0,438.0,466.0,179.0,216.0,194.0,28.0,3.0,180.92
0.0,46.0,92.0,89.0,140.0,130.0,254.0,114.0,219.0,141.0,3.0,0.0,102.33
0.0,55.0,28.0,62.0,125.0,287.0,306.0,157.0,191.0,191.0,36.0,6.0,120.33
0.0,26.0,31.0,38.0,199.0,357.0,519.0,132.0,173.0,173.0,2.0,0.0,137.5
0.0,34.0,34.0,71.0,178.0,166.0,400.0,242.0,284.0,158.0,1.0,1.0,130.75
0.0,58.0,65.0,41.0,208.0,294.0,404.0,256.0,140.0,222.0,15.0,3.0,142.17
2.9,28.0,32.0,111.0,365.0,252.0,612.0,203.0,564.0,125.0,0.0,0.0,208.36
0.0,27.0,16.0,114.0,193.0,299.0,671.0,335.0,582.0,59.0,0.0,0.0,191.33
0.0,42.0,17.0,98.0,196.0,352.0,521.0,296.0,539.0,79.0,0.0,0.0,178.33
2.9,29.0,20.0,202.0,301.0,312.0,1216.0,278.0,303.0,60.0,0.0,0.0,247.36
2.9,18.0,34.0,162.0,318.0,274.0,726.0,186.0,501.0,37.0,0.0,0.0,205.09
2.9,25.0,21.0,115.0,408.0,297.0,652.0,182.0,294.0,106.0,1.0,0.0,191
0.0,172.0,82.0,88.0,104.0,131.0,325.0,362.0,285.0,155.0,175.0,15.0,157.83
0.0,105.0,60.0,77.0,107.0,260.0,380.0,385.0,286.0,138.0,265.0,11.0,172.83
0.0,130.0,109.0,73.0,116.0,222.0,144.0,567.0,234.0,68.0,172.0,11.0,153.83
0.0,109.0,84.0,155.0,123.0,155.0,228.0,231.0,222.0,157.0,75.0,14.0,129.42
0.0,82.0,18.0,76.0,227.0,155.0,167.0,129.0,264.0,142.0,31.0,3.0,107.83
0.0,102.0,61.0,199.0,171.0,228.0,232.0,178.0,179.0,219.0,26.0,4.0,133.25
0.0,78.0,30.0,84.0,146.0,154.0,447.0,258.0,249.0,176.0,365.0,13.0,166.67
0.0,78.0,60.0,48.0,165.0,264.0,624.0,336.0,195.0,96.0,226.0,11.0,175.25
0.0,63.0,48.0,77.0,211.0,501.0,745.0,617.0,293.0,371.0,220.0,5.0,262.58
0.0,71.0,31.0,62.0,143.0,149.0,425.0,360.0,273.0,77.0,265.0,18.0,156.17
0.0,20.0,17.0,328.0,442.0,308.0,357.0,140.0,74.0,45.0,13.0,13.0,146.42
0.0,40.0,42.0,248.0,303.0,196.0,332.0,172.0,202.0,77.0,5.0,23.0,136.67
0.0,4.0,15.0,232.0,225.0,200.0,422.0,86.0,138.0,68.0,22.0,13.0,118.75
0.0,1.0,2.0,171.0,400.0,353.0,475.0,194.0,168.0,70.0,9.0,9.0,154.33
0.0,0.0,2.0,207.0,232.0,174.0,253.0,172.0,130.0,44.0,0.0,4.0,101.5
0.0,20.0,36.0,230.0,624.0,361.0,299.0,258.0,126.0,142.0,34.0,12.0,178.5
0.0,10.0,34.0,269.0,490.0,305.0,307.0,221.0,144.0,122.0,36.0,18.0,163
0.0,11.0,49.0,252.0,448.0,464.0,539.0,465.0,320.0,136.0,5.0,19.0,225.67
13.0,0.0,20.0,90.0,406.0,640.0,818.0,316.0,157.0,297.0,0.0,4.0,230.08
